CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
space_station_invention;Space Station;;;;;;;;;;;;;;
space_station_invention_desc;A space station, also known as an orbital station or an orbital space station, is a spacecraft capable of supporting a human crew in orbit for an extended period of time that lacks major propulsion or landing systems. Stations must have docking ports to allow other spacecraft to dock to transfer crew and supplies.;;;;;;;;;;;;;;
space_docking;Orbital Docking;;;;;;;;;;;;;;
space_docking_desc;A space rendezvous is a set of orbital maneuvers during which two spacecraft, one of which is often a space station, arrive at the same orbit and approach to a very close distance. Rendezvous requires a precise match of the orbital velocities and position vectors of the two spacecraft, allowing them to remain at a constant distance through orbital station-keeping. Rendezvous may or may not be followed by docking or berthing, procedures which bring the spacecraft into physical contact and create a link between them.;;;;;;;;;;;;;;
spacewalk;Space Suit;;;;;;;;;;;;;;
spacewalk_desc;A space suit is a garment worn to keep a human alive in the harsh environment of outer space, vacuum and temperature extremes. Space suits are often worn inside spacecraft as a safety precaution in case of loss of cabin pressure, and are necessary for extravehicular activity (EVA), work done outside spacecraft.;;;;;;;;;;;;;;
man_in_orbit;Human Spaceflight Technology;;;;;;;;;;;;;;
man_in_orbit_desc;Human spaceflight is spaceflight with a crew or passengers aboard a spacecraft. Spacecraft carrying people may be operated directly, by human crew, or it may be either remotely operated from ground stations on Earth or be autonomous, able to carry out a specific mission with no human involvement.;;;;;;;;;;;;;;
sequence_assembly;Sequence Assembly;;;;;;;;;;;;;;
space_capable_icbm;Basic ICBMs;;;;;;;;;;;;;;
space_capable_icbm_desc;Early ICBMs had limited precision, which made them suitable for use only against the largest targets, such as cities. They were seen as a "safe" basing option, one that would keep the deterrent force close to home where it would be difficult to attack. Attacks against military targets (especially hardened ones) still demanded the use of a more precise, manned bomber.;;;;;;;;;;;;;;
second_generation_icbm;Second Generation ICBM;;;;;;;;;;;;;;
second_generation_icbm_desc;Second- and third-generation designs (such as the LGM-118 Peacekeeper) dramatically improved accuracy to the point where even the smallest point targets can be successfully attacked.;;;;;;;;;;;;;;
third_generation_icbm;Third Generation ICBM;;;;;;;;;;;;;;
third_generation_icbm_desc;Second- and third-generation designs (such as the LGM-118 Peacekeeper) dramatically improved accuracy to the point where even the smallest point targets can be successfully attacked.;;;;;;;;;;;;;;
modern_gas_weaponry;Modern Chemical Weapons;;;;;;;;;;;;;;
modern_gas_weaponry_desc;Modern Chemical Weapons are small arms that allow the delivery of toxic substances effectively to enemy forces on the battlefield rather than loading the subtances onto rockets to be fired at cities.;;;;;;;;;;;;;;
post_ww2_infantry;Post WW2 Infantry;;;;;;;;;;;;;;
post_ww2_infantry_desc;Learning from the experiences of WW2, post war infantry doctrines have been greatly improved.;;;;;;;;;;;;;;
guerrilla_tactics;Guerrilla Tactics;;;;;;;;;;;;;;
guerrilla_tactics_desc;The skill of conducting an insurgency in a foreign country is a difficult one to master however once learnt, it greatly improves the performance of our infantry.;;;;;;;;;;;;;;
infantry_diversification;Infantry Diversification;;;;;;;;;;;;;;
infantry_diversification_desc;With the changes in the style of combat since WW1, there has been a growing trend of infantry specialisation where soldiers go from just simple riflemen to other kinds of infantry types such as machine-gunners and RPG troops.;;;;;;;;;;;;;;
new_generation_infantry;New Generation Infantry;;;;;;;;;;;;;;
new_generation_infantry_desc;New generation infantry use digital technology to augment their warfighting skills.;;;;;;;;;;;;;;
modern_weapon_integration;Weapons Integration;;;;;;;;;;;;;; 
modern_weapon_integration_desc;Modern weapons can support a range of operation requirements as they are modular and customisable.;;;;;;;;;;;;;;
special_operations_command;Special Operations Command;;;;;;;;;;;;;;
special_operations_command_desc;Special Operations Command centres helps the various branches of the army to coordinate their activities better.;;;;;;;;;;;;;;
climate_resistant_arms;Climate Resistant Weapons;;;;;;;;;;;;;;
climate_resistant_arms_desc;The development of new materials have helped to make modern weaponry less susceptible to the effects of the weather.;;;;;;;;;;;;;;
infantry_of_the_future;Infantry of the Future;;;;;;;;;;;;;;
infantry_of_the_future_desc;Infantry of the future are part man, part machine. They use exoskeletons to achieve super human agility and strength.;;;;;;;;;;;;;;
post_war_tanks;Post War Tanks;;;;;;;;;;;;;;
post_war_tanks_desc;Tanks of the early 1950s have greater speed and firepower.;;;;;;;;;;;;;;
the_main_battle_tank;1st Gen Main Battle Tank;;;;;;;;;;;;;;
the_main_battle_tank_desc;The Main Battle Tank is a versatile tank that combines quick speed, moderate fire power and light armour.;;;;;;;;;;;;;;
anti_mbt_weapons;Anti-MBT Weapons;;;;;;;;;;;;;;
anti_mbt_weapons_desc;Anti-MBT weapons are specially designed to be able to hit fast moving Main Battle Tanks.;;;;;;;;;;;;;;
tank_missiles;Tank Missiles;;;;;;;;;;;;;;
tank_missiles_desc;Missiles on tanks allow them to act as mobile ATGMS.;;;;;;;;;;;;;;
anti_tank_missilesw;Anti-Tank Missiles;;;;;;;;;;;;;;
anti_tank_missilesw_desc;Anti-tank missiles provide more penetration power against modern tank armour.;;;;;;;;;;;;;;
the_second_generation_tank;2nd Gen Main Battle Tank;;;;;;;;;;;;;;
the_second_generation_tank_desc;An update of the original Main Battle Tank Design with better specifications.;;;;;;;;;;;;;;
anti_second_generation_tank;2nd Gen Anti-MBT Weapons;;;;;;;;;;;;;;
anti_second_generation_tank_desc;2nd Gen Anti-MBT Weapons are better at knocking out fast moving Main Battle Tanks.;;;;;;;;;;;;;;
the_third_generation_tank;3rd Gen Main Battle Tank;;;;;;;;;;;;;;
the_third_generation_tank_desc;An update of the second generation Main Battle Tank Design with better specifications.;;;;;;;;;;;;;;
anti_third_generation_tank;3rd Gen Anti-MBT Weapons;;;;;;;;;;;;;;
anti_third_generation_tank_desc;2nd Gen Anti-MBT Weapons are better at knocking out fast moving Main Battle Tanks.;;;;;;;;;;;;;;
21st_gen_tank_warfare;21st Century Tank Tactics;;;;;;;;;;;;;;
21st_gen_tank_warfare_desc;Modern tank related tactics have increased the performance of our combat support, artillery and tank forces.;;;;;;;;;;;;;;
mounted_combat_system_invention;Mounted Combat Equipment;;;;;;;;;;;;;;
mounted_combat_system_desc;Mobile armoured vehicles allow soldiers to fight while moving at high speed.;;;;;;;;;;;;;;
late_21st_century_tanks;The Future Tank;;;;;;;;;;;;;; 
late_21st_century_tanks_desc;Tanks produced at the end of the century are highly advanced.;;;;;;;;;;;;;; 
late_21st_century_antitanks;Future Anti-Tank;;;;;;;;;;;;;; 
late_21st_century_antitanks_desc;These weapons are highly advanced.;;;;;;;;;;;;;;
jet_powered_aircraft;Jet Powered Aircraft;;;;;;;;;;;;;; 
jet_powered_aircraft_desc;Aircraft that use jet propulsion can travel at speeds more than twice that of conventional propeller driven aircraft.;;;;;;;;;;;;;;
jet_powered_aircraft;Jet Powered Aircraft;;;;;;;;;;;;;; 
jet_powered_aircraft_desc;Aircraft that use jet propulsion can travel at speeds more than twice that of conventional propeller driven aircraft.;;;;;;;;;;;;;;
second_gen_jet_aircraft;2nd Gen Jet Aircraft;;;;;;;;;;;;;;
second_gen_jet_aircraft_desc;Jet Aircraft from the late 1950s became more reliable and more fuel efficient.;;;;;;;;;;;;;;
sam_system;SAM Counter Measures;;;;;;;;;;;;;;
sam_system_desc;Counter measures such as flares help pilots evade Surface to Air Missiles.;;;;;;;;;;;;;; 
third_gen_jet_aircraft;3rd Gen Jet Aircraft;;;;;;;;;;;;;;
third_gen_jet_aircraft_desc;Jet Aircraft from the late 1960s could fly much higher.;;;;;;;;;;;;;;
modern_military_aircraft;Modern Military Aircraft;;;;;;;;;;;;;;
modern_military_aircraft_desc;Aircraft design has a reached a point where jets can take off vertically and helicopters can fly at speeds in excess of 200kmh.;;;;;;;;;;;;;;
fourth_gen_jet_aircraft;4th Gen Jet Aircraft;;;;;;;;;;;;;;
