CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
ASM;Assam;;;;;;;;;;;;;x
ASM_ADJ;Assamese;;;;;;;;;;;;;x
AST;Australia;Australie;Australien;;Australia;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_ADJ;Australian;Aussie;Aussie;;Aussie;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_communist;Communist Party Australia;Parti communiste australien;Communist Party Australia;;Partido Comunista Australiano;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_conservative;Protectionist Party;Parti protectionniste;Protectionist Party;;Partido Proteccionista;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_conservative_2;Country Party;Parti national;Country Party;;Partido Nacional;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_liberal;Free Trade Party;Parti du libre échange;Free Trade Party;;Partido del Libre Comercio;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_liberal_2;Liberal Party;Parti libéral;Liberal Party;;Partido Liberal;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_populist;Nationalist Party;Parti nationaliste;Nationalist Party;;Partido Nacionalista;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_progressive;Radical Party;Parti radical;Radical Party;;Partido Radical;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_socialist;Australian Labour Party;Parti travailliste australien;Australian Labour Party;;Partido Laborista Australiano;;;;;;;;;x;;;;;;;;;;;;;;;;
AST_traditionalist;Fascist Party;Parti fasciste;Fascist Party;;Partido Fascista;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ;Aceh;Aceh;Atjeh;;Atjeh;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ_ADJ;Acehnese;Aceh;Atjehnesisch;;Atjehnesa;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La Facción Comunista;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ_conservative;Royal Faction;Faction royale;Königsfraktion;;Facción real;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La Facción Liberal;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ_populist;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La Facción Nacionalista;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ_progressive;The Radical Faction;Faction radicale;Die radikale Fraktion;;La Facción Radical;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La Facción Socialista;;;;;;;;;x;;;;;;;;;;;;;;;;
ATJ_traditionalist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La Facción Fascista;;;;;;;;;x;;;;;;;;;;;;;;;;
ATL;Atlantico;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
ATL_ADJ;Atlantian;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
ATL_communist;Communist Party;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
ATL_conservative;Conservative Party;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
ATL_liberal;Liberal Party;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
ATL_populist;Patriot Party;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
ATL_progressive;Libertarian Party;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
ATL_socialist;Labour Party;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
ATL_traditionalist;Peoples Party;;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;
