CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
IMP;The Commonwealth of Nations;;;;;;;x
IMP_ADJ;Commonwealth;;;;;;;x
IMP_hms_government;The British Commonwealth;;;;;;;x
IMP_hms_government1;The British Commonwealth;;;;;;;x
IMP_absolute_monarchy;The Imperial Federation;;;;;;;x
IMP_hms_government_ADJ;British;;;;;;;x
IMP_hms_government1_ADJ;British;;;;;;;x
IMP_absolute_monarchy_ADJ;British;;;;;;;x
white_american;White American;;;;;;;x
IMP_tech_school;Commonwealth Realm;;;;;;;x
IMP_ambition_title;Commonwealth Ambitions;;;;;;;x
IMP_ambition_desc;Our nation should align itself with the other members of the Commonwealth. Regional markets are well and good, but access to this global network will allow us to make inroads into varied markets with ease. Besides, nobody else understands Cricket.;;;;;;;x
end_IMP_ambition_title;Angloscepticism;;;;;;;x
end_IMP_ambition_desc;Other members of the Commonwealth are too distant for large volumes of trade, so it is this government's recommendation that we fail to renew trade agreements.;;;;;;;x
IMP_single_market_title;Commonwealth Preference;;;;;;;x
IMP_single_market_desc;A single Realm market seeks to ensure the free flow of people, goods and capital between Commonwealth members.;;;;;;;x
IMP_currency_union_title;Commonwealth Pound;;;;;;;x
IMP_currency_union_desc;A single legal tender, fixed to the value of $COUNTRY_ADJ$ currency, aids economic integration and competitiveness with foreign goods.;;;;;;;x
IMP_political_union_title;Commonwealth of Nations;;;;;;;x
IMP_political_union_desc;Support the establishment of a single CANZUK polity, tentatively styled the Commonwealth of Nations. Originally floated as the Imperial Federation, the idea of a union between the UK and her primarily British colonies faded after growing nationalism in the World Wars, but has once more gained traction with $COUNTRY$'s CANZUK-oriented policies.;;;;;;;x
IMP_defence_union_title;Commonwealth Defence Union;;;;;;;x
IMP_defence_union_desc;The geographical realities of the Commonwealth mean its defense poses unique challenges. Uniting the Royal Navies and Air Forces into a single command structure, backed by shared intelligence, the Commonwealth should be able to defend itself on all seven continents.;;;;;;;x
IMP_form_union_title;Form the Commonwealth of Nations;;;;;;;x
IMP_form_union_desc;The humble Commonwealth market has grown to an almost total union. By devolving the English Parliament and cementing Westminster as a truly Commonwealth Government, the Commonwealth can establish itself as a new world power.;;;;;;;x
IMP_enlarge_union_title;Admit Commonwealth members;;;;;;;x
IMP_enlarge_union_desc;Another potential Commonwealth candidate has expressed interest in representation at Westminster, and their integration is awaiting our go-ahead.;;;;;;;x
EVTDESC13000261;The Imperial Federation refers to a series of proposals in the late 19th and early 20th centuries to create a federal union to replace the existing British Empire, presenting it as an alternative to colonial imperialism. With the devastation wrought by World War II and the subsequent rise of nationalism in the colonial nations, perhaps it is time to revisit the idea of recognizing each colony as a nation within the Imperial Federation, granting each colony its own parliament and a degree of self-government so the locals can participate in the Imperial Parliament and quell their nationalist tendencies before they decide it is better to just quit the Empire altogether.;;;;;;;;x;;;;;;;;;;;;;
