CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
any_land_metaregion;All Land Provinces;;;;;;;;;x;;;;;;;;;;;;;;;;
any_sea_metaregion;All Water Provinces;;;;;;;;;x;;;;;;;;;;;;;;;;
north_hemisphere_metaregion;North Hemisphere;;;;;;;;;x;;;;;;;;;;;;;;;;
south_hemisphere_metaregion;South Hemisphere;;;;;;;;;x;;;;;;;;;;;;;;;;
northern_america_metaregion;Northern America;;;;;;;;;x;;;;;;;;;;;;;;;;
central_america_metaregion;Central America;;;;;;;;;x;;;;;;;;;;;;;;;;
southern_america_metaregion;Southern America;;;;;;;;;x;;;;;;;;;;;;;;;;
caribbean_metaregion;Caribbean;;;;;;;;;x;;;;;;;;;;;;;;;;
caribbean_south_america;Caribbean Coast;;;;;;;;;x;;;;;;;;;;;;;;;;
andean_south_america;Andes;;;;;;;;;x;;;;;;;;;;;;;;;;
southern_cone_metaregion;Southern Cone;;;;;;;;x;;;;;;;;;;;;;;;;
brazil_metaregion;Brazil;;;;;;;;x;;;;;;;;;;;;;;;;
northern_europe_metaregion;Northern Europe;;;;;;;;;x;;;;;;;;;;;;;;;;
western_europe_metaregion;Western Europe;;;;;;;;;x;;;;;;;;;;;;;;;;
central_europe_metaregion;Central Europe;;;;;;;;;x;;;;;;;;;;;;;;;;
southern_europe_metaregion;Southern Europe;;;;;;;;;x;;;;;;;;;;;;;;;;
eastern_europe_metaregion;Eastern Europe;;;;;;;;;x;;;;;;;;;;;;;;;;
balkan_metaregion;Balkans;;;;;;;;;x;;;;;;;;;;;;;;;;
siberia_metaregion;Siberia;;;;;;;;;x;;;;;;;;;;;;;;;;
caucasus_metaregion;Caucasia;;;;;;;;;x;;;;;;;;;;;;;;;;
central_asia_metaregion;Central Asia;;;;;;;;;x;;;;;;;;;;;;;;;;
western_asia_metaregion;Western Asia;;;;;;;;;x;;;;;;;;;;;;;;;;
southern_asia_metaregion;Southern Asia;;;;;;;;;x;;;;;;;;;;;;;;;;
eastern_asia_metaregion;Eastern Asia;;;;;;;;;x;;;;;;;;;;;;;;;;
southeastern_asia_metaregion;Southeastern Asia;;;;;;;;;x;;;;;;;;;;;;;;;;
arabia_metaregion;Arab World;;;;;;;;;x;;;;;;;;;;;;;;;;
northern_africa_metaregion;Northern Africa;;;;;;;;;x;;;;;;;;;;;;;;;;
southern_africa_metaregion;Southern Africa;;;;;;;;;x;;;;;;;;;;;;;;;;
eastern_africa_metaregion;Eastern Africa;;;;;;;;;x;;;;;;;;;;;;;;;;
western_africa_metaregion;Western Africa;;;;;;;;;x;;;;;;;;;;;;;;;;
central_africa_metaregion;Central Africa;;;;;;;;;x;;;;;;;;;;;;;;;;
african_islands_metaregion;West Indian Ocean Islands;;;;;;;;;x;;;;;;;;;;;;;;;;
ausnz_metaregion;Australasia;;;;;;;;;x;;;;;;;;;;;;;;;;
melanesia_metaregion;Melanesia;;;;;;;;;x;;;;;;;;;;;;;;;;
micronesia_metaregion;Micronesia;;;;;;;;;x;;;;;;;;;;;;;;;;
polynesia_metaregion;Polynesia;;;;;;;;;x;;;;;;;;;;;;;;;;
pacific_metaregion;Pacific Islands;;;;;;;;;x;;;;;;;;;;;;;;;;
latin_america_metaregion;Latin America;;;;;;;;;x;;;;;;;;;;;;;;;;
europe_metaregion;Europe;;;;;;;;;x;;;;;;;;;;;;;;;;
americas_metaregion;The Americas;;;;;;;;;x;;;;;;;;;;;;;;;;
eurasia_metaregion;Eurasia;;;;;;;;;x;;;;;;;;;;;;;;;;
africa_metaregion;Africa;;;;;;;;;x;;;;;;;;;;;;;;;;
asia_metaregion;Asia;;;;;;;;;x;;;;;;;;;;;;;;;;
ALB_metaregion;Albania;;;;;;;;;x;;;;;;;;;;;;;;;;
AUS_metaregion;Austria;;;;;;;;;x;;;;;;;;;;;;;;;;
BEL_metaregion;Belgium;;;;;;;;;x;;;;;;;;;;;;;;;;
