CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
ALW;Alawite;;;;;;;;x;;;;;;;;;;;;;
ALW_ADJ;Northern Syrian;;;;;;;;x;;;;;;;;;;;;;
ALW_colonial_government;Alawite State;;;;;;;;x;;;;;;;;;;;;;
ALW_conservative;Greater Syria Party;;;;;;;;x;;;;;;;;;;;;;
ALW_nationalist;New Alawite Dynasty;;;;;;;;x;;;;;;;;;;;;;
BRT;Barotseland;;;;;;;;x;;;;;;;;;;;;;
BRT_ADJ;Barotse;;;;;;;;x;;;;;;;;;;;;;
BUY_FROM_STOCKPILE_DESC;Allow pops/factories to buy from the country's stockpile.\n\n§YNOTE: §RNEVER§W use this button while you are still buying or selling manually. §RONLY§W use it with automatic trade §GON§W for §RALL§W goods.§W §RFailing to do so will cause economy crashes both locally and globally. Use it at your own risk.§W;;;;;;;;;;;;;;
CNG;Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG;DR Congo;Congo;Kongo;;El Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_colonial_government;Congo;Congo;Kongo;;El Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_democracy1;Republic of the Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_democracy;Democratic Republic of the Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_hms_government;Congo Free State;Congo;Kongo;;El Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_nationalist_dictatorship;Zaire;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_presidential_dictatorship;Republic of the Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_proletarian_dictatorship1;People's Republic of the Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_proletarian_dictatorship;People's Republic of the Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_sectarian_dictatorship;Zaire;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_socialist_democracy;People's Republic of the Congo;;;;;;;;;x;;;;;;;;;;;;;;;;
CNG_theocracy;The Zairian State;;;;;;;;;x;;;;;;;;;;;;;;;;
CSA_ADJ;Confederate American;;;;;;;;;;;;;;
CSA_democracy;The Confederate States of America;;;;;;;;;;;;;;
CSA_nationalist_dictatorship;The Confederate States of America;;;;;;;;;;;;;;
CSA_presidential_dictatorship;The Confederate States of America;;;;;;;;;;;;;;
CSA_proletarian_dictatorship1;The Confederate Union of America;;;;;;;;;;;;;;
CSA_proletarian_dictatorship;The Confederate Union of America;;;;;;;;;;;;;;
CSA_sectarian_dictatorship;The Confederate States of America;;;;;;;;;;;;;;
CSA_socialist_democracy;The Confederate Union of America;;;;;;;;;;;;;;
CSA_theocracy;The Confederate States;;;;;;;;;;;;;;
CSM;Casamance;;;;;;;;x;;;;;;;;;;;;;
CSM_ADJ;Casamancian;;;;;;;;x;;;;;;;;;;;;;
DIPLOMACY_CIVILIZEDNATION_STATUS;Minor Nation;;;;;;;;;;;;x,,,;;;;;;;;;;;;;;;;;
ENG_absolute_monarchy;The United Kingdom;;;;;;;;;;;;;;
EVTDESC13000261;The Imperial Federation refers to a series of proposals in the late 19th and early 20th centuries to create a federal union to replace the existing British Empire, presenting it as an alternative to colonial imperialism. With the devastation wrought by World War II and the subsequent rise of nationalism in the colonial nations, perhaps it is time to revisit the idea of recognizing each colony as a nation within the Imperial Federation, granting each colony its own parliament and a degree of self-government so the locals can participate in the Imperial Parliament and quell their nationalist tendencies before they decide it is better to just quit the Empire altogether.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1400068;The assembly of the International Space Station, a major endeavour in space architecture, began in November 1998. Russian modules launched and docked robotically, with the exception of Rassvet. All other modules were delivered by the Space Shuttle, which required installation by ISS and shuttle crewmembers using the Canadarm2 (SSRMS) and EVAs, as of 5 June 2011, they had added 159 components during more than 1,000 hours of EVA. 127 of these spacewalks originated from the station, and the remaining 32 were launched from the airlocks of docked Space Shuttles. The beta angle of the station had to be considered at all times during construction, as the station's beta angle is directly related to the percentage of its orbit that the station (as well as any docked or docking spacecraft) is exposed to the sun; the Space Shuttle would not perform optimally above a limit called the "beta cutoff". Many of the modules that launched on the Space Shuttle were integrated and tested on the ground at the Space Station Processing Facility to find and correct issues prior to launch.;;;;;;;;x;;;;;;;;;;;;;
EVTDESC1412061;Biological warfare is the use of biological toxins or infectious agents such as bacteria, viruses, and fungi with the intent to kill or incapacitate humans, animals or plants as an act of war. Biological weapons are living organisms or replicating entities (viruses, which are not universally considered "alive") that reproduce or replicate within their host victims. Entomological (insect) warfare is also considered a type of biological weapon. This type of warfare is distinct from nuclear warfare and chemical warfare, which together with biological warfare make up NBC, the military acronym for nuclear, biological, and chemical warfare using weapons of mass destruction. None of these are conventional weapons, which are deployed primarily for their explosive, kinetic, or incendiary potential.;;;;;;;;;;x
EVT_1412086_A;Let's see who got the job;;;;;;;;x;;;;;;;;;;;;;
EVT_1412086_DESC;Article 97 of the United Nations Charter determines that the Secretary-General is "appointed by the General Assembly upon the recommendation of the Security Council." As the recommendation must come from the Security Council, any of the five permanent members of the Council can veto a nomination. Most Secretaries-General are compromise candidates from middle powers and have little prior fame. Unofficial qualifications for the job have been set by precedent in previous selections, and the appointee may not be a citizen of any of the Security Council's five permanent members. The Secretary-General is customarily appointed for a five-year term, although the length of the term is discretionary.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412086_NAME;$YEAR$ UN Secretary-General Selection;;;;;;;;x;;;;;;;;;;;;;
EVT_1412087_A;Every Secretary-General shapes the office;;;;;;;;x;;;;;;;;;;;;;
EVT_1412087_NAME;Our Candidate for UN Secretary-General Selected!;;;;;;;;x;;;;;;;;;;;;;
EVT_1412088_A;That 'organisation' had better not meddle in our affairs!;;;;;;;;x;;;;;;;;;;;;;
EVT_1412088_DESC;Proactive UN Secretary-General Selected\n\nThe new UN Secretary-General does not subscribe to non-interventionism, nor to acting only with the General Assembly's support, going so far as to believe that the office of Secretary-General should have independence of action. We can expect strong sanctions against warring nations.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412089_A;Who is this, even?;;;;;;;;x;;;;;;;;;;;;;
EVT_1412089_DESC;Uninspiring UN Secretary-General Selected\n\nThe new UN Secretary-General usually subscribes to non-interventionism and to acting with the General Assembly's support. At best, we can expect weak sanctions against warring nations.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412090_A;What a joke;;;;;;;;x;;;;;;;;;;;;;
EVT_1412090_DESC;Passive UN Secretary-General Selected\n\nThe new UN Secretary-General subscribes completely to non-interventionism and to acting only with the General Assembly's support. We can expect warring nations to largely go unpunished.;;;;;;;;x;;;;;;;;;;;;;
EVT_1412092_A;Lodge a strong complaint;;;;;;;;x;;;;;;;;;;;;;
EVT_1412092_NAME;UN sanctions imposed against our nation;;;;;;;;x;;;;;;;;;;;;;
EVT_19471947_A;We will fight for our homeland.;;;;;;;;;;x
EVT_19471947_DESC;The history of the chosen people is the longest of any - but it is a sad history. It is one of slavery. It is one of oppression. It is one of ghettos, genocide, pogroms, inquisitions, broken glass, forced conversions, and intolerance. It is one of diaspora.\nSeared into the Jewish national consciousness is the Shoah, in which two-thirds of European Jews were systematically exterminated. This, and the whole history of the diaspora, is a natural consequence of living among gentiles.\nWe shall live at last as free men on our own soil, and die peacefully in our own homes. The world will be freed by our liberty, enriched by our wealth, magnified by our greatness. And whatever we attempt there to accomplish for our own welfare, will react powerfully and beneficially for the good of humanity.;;;;;;;;;;x
EVT_19471947_NAME;An end to the diaspora;;;;;;;;;;x
EVT_1971281_A;We must strive for independence to achieve full UN representation;;;;;;;;x;;;;;;;;;;;;;
EVT_1971281_DESC;We are a vassal and, as our foreign affairs are controlled by $OVERLORD$, we can only be an observer state.;;;;;;;;x;;;;;;;;;;;;;
EVT_1971281_NAME;We are now only a UN Observer State;;;;;;;;x;;;;;;;;;;;;;
EVT_1971282_A;We have achieved full UN representation;;;;;;;;x;;;;;;;;;;;;;
EVT_1971282_DESC;As we are no longer a vassal, we control our own foreign affairs, allowing us to be a full UN member state.;;;;;;;;x;;;;;;;;;;;;;
EVT_1971282_NAME;We are no longer a UN Observer State;;;;;;;;x;;;;;;;;;;;;;
EVT_1971283_A;Good things never last...;;;;;;;;x;;;;;;;;;;;;;
EVT_1971283_DESC;We have been selected as a non-permanent member of United Nations Security Council. Our term only lasts for 2 years.;;;;;;;;x;;;;;;;;;;;;;
EVT_1971283_NAME;Our term as a Non-Permanent Member of the UNSC Ends;;;;;;;;x;;;;;;;;;;;;;
EVT_1971284_A;We must make the most of this new status;;;;;;;;x;;;;;;;;;;;;;
EVT_1971284_DESC;We have been selected as a non-permanent member of United Nations Security Council. Our term only lasts for 2 years.;;;;;;;;x;;;;;;;;;;;;;
